,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount
0,Pepe Jeans,Men Mid-Rise Jeans,Rs. 2299,Rs. 1899,4.2,74
1,Pepe Jeans,Men Stretchable Jeans,Rs. 2299,Rs. 1899,4.4,571
2,Urbano Fashion,Men Slim Fit Jeans,Rs. 1399,Rs. 489,4,21.8k
3,Mast & Harbour,Men Slim Tapered Jeans,Rs. 2499,Rs. 724,3.7,3.1k
4,Calvin Klein Jeans,Men Slim Fit Jeans,Rs. 9999,Rs. 4999,0,0
5,Roadster,Men Pure Cotton Jeans,Rs. 2499,Rs. 1149,3.6,726
6,HIGHLANDER,Men Slim Fit Jeans,Rs. 1299,Rs. 480,3.8,13.4k
7,WROGN,Men Cargo Anti Fit Jeans,Rs. 2999,Rs. 1709,4.1,19
8,Urbano Fashion,Men Relaxed Fit Jeans,Rs. 2099,Rs. 734,4,3.9k
9,Marks & Spencer,Men Light Fade Cotton Jeans,0,0,0,0
10,Flying Machine,Men Tapered Fit Jeans,Rs. 2399,Rs. 1559,4.2,43
11,Thomas Scott,Men Bootcut Jeans,Rs. 3499,Rs. 999,4,332
12,Mast & Harbour,Men Relaxed Fit Jeans,Rs. 3399,Rs. 999,4.1,538
13,Jack & Jones,Men Low-Rise Jeans,Rs. 6999,Rs. 3849,0,0
14,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,Rs. 2749,Rs. 604,3.5,162
15,Urbano Fashion,Men Relaxed Fit Cotton Jeans,Rs. 2399,Rs. 839,4,369
16,Jack & Jones,Men Slim Fit Low-Rise Jeans,Rs. 3999,Rs. 1999,3.8,26
17,Bene Kleed,Relaxed Fit Denim Jeans,Rs. 2299,Rs. 758,4.1,5k
18,WROGN,Men Skinny Fit Mid Rise Jeans,Rs. 1999,Rs. 879,4.1,364
19,Louis Philippe Jeans,Men Slim Fit Mid-Rise Jeans,Rs. 2999,Rs. 1769,4.2,520
20,glitchez,Men Loose Baggy Jeans,Rs. 1399,Rs. 839,3.7,160
21,Urbano Fashion,Men Slim Fit Clean Look Jeans,Rs. 1399,Rs. 489,4.1,1.9k
22,U.S. Polo Assn. Denim Co.,Men Tapered Crop Fit Jeans,Rs. 2299,Rs. 1494,4.5,24
23,HIGHLANDER,Men Tapered Fit Mid-Rise Jeans,Rs. 2949,Rs. 648,3,32
24,HIGHLANDER,Men Tapered Fit Jeans,Rs. 1999,Rs. 699,3.3,119
25,Flying Machine,Men Crinkle Stretchable Jeans,Rs. 2999,Rs. 1559,4,58
26,StyleCast x Revolte,Wide Leg Medium Shade Jeans,Rs. 3499,Rs. 1189,3.8,60
27,Mast & Harbour,Men Relaxed Fit Jeans,Rs. 3399,Rs. 999,4,569
28,Louis Philippe Jeans,Men Slim Fit Low-Rise Jeans,Rs. 2999,Rs. 1649,4.1,894
29,Levis,Men Slim Fit Mid-Rise Jeans,Rs. 2899,Rs. 1159,4.1,163
30,glitchez,Men Loose Fit Jeans,Rs. 2199,Rs. 923,3.5,37
31,U.S. Polo Assn. Denim Co.,Men Slim Straight Fit Jeans,Rs. 2699,Rs. 1619,4.5,13
32,Stylecast X Kotty,Regular Fit Stretchable Jeans,Rs. 1999,Rs. 519,3.5,125
33,HIGHLANDER,Men Slim Fit Jeans,Rs. 1899,Rs. 683,4,7.9k
34,Jack & Jones,Men Wide Leg High-Rise Jeans,Rs. 3999,Rs. 3399,0,0
35,HIGHLANDER,Men Stretchable Jeans,Rs. 2049,Rs. 450,3.9,759
36,HERE&NOW,Men Straight Fit Jeans,Rs. 3599,Rs. 1007,4.2,5
37,Flying Machine,Men Tapered Fit Jeans,Rs. 2299,Rs. 1218,4.4,69
38,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,Rs. 2949,Rs. 648,3.7,95
39,Mast & Harbour,Men Straight Fit Mid-Rise Jeans,Rs. 1699,Rs. 713,4.2,12
40,Louis Philippe Jeans,Men Slim Fit Low-Rise Jeans,Rs. 3299,Rs. 1946,4,392
41,HERE&NOW,Men Baggy Pure Cotton Jeans,Rs. 2999,Rs. 1259,4.3,7
42,Urbano Fashion,Men Relaxed Fit Cotton Jeans,Rs. 2399,Rs. 839,3.9,320
43,Jack & Jones,Men Mid-Rise Clean Look Jeans,0,0,4.1,28
44,The Indian Garage Co,Men Slim Fit Jeans,Rs. 2299,Rs. 896,3.8,2.6k
45,Bene Kleed,Men Wide Leg Jeans,Rs. 2599,Rs. 883,3.5,83
46,Louis Philippe Jeans,Men Slim Fit Mid-Rise Jeans,Rs. 2599,Rs. 1429,3.9,34
47,Mast & Harbour,Men Stretchable Jeans,Rs. 2299,Rs. 804,3.5,373
48,HIGHLANDER,Men Fit Mid rise Jeans,Rs. 2199,Rs. 483,3.8,583
49,U.S. Polo Assn. Denim Co.,Men Skinny Cropped Fit Jeans,Rs. 2299,Rs. 1379,4.4,52
